Date,MarketCap
3/7/13,461811834.6
3/10/13,505945575
3/13/13,509745491.1
3/16/13,513747505.3
3/19/13,630724760
3/22/13,781897187.5
3/25/13,809051214.6
3/28/13,1025609049
3/31/13,1015081235
4/3/13,1525041869
4/6/13,1567463463
4/9/13,2620841076
4/12/13,843312707.4
4/15/13,1004410225
4/18/13,1066353950
4/21/13,1382675000
4/24/13,1696508264
4/27/13,1419014511
4/30/13,1543897759
5/3/13,1034828966
5/6/13,1345090886
5/9/13,1219822579
5/12/13,1274287886
5/15/13,1283062886
5/18/13,1382268379
5/21/13,1369657188
5/24/13,1471892650
5/27/13,1485990856
5/30/13,1469538093
6/2/13,1354720652
6/5/13,1376864587
6/8/13,1213946580
6/11/13,1217610900
6/14/13,1128830000
6/17/13,1136058016
6/20/13,1266565451
6/23/13,1219485057
6/26/13,1183612922
6/29/13,1087840603
7/2/13,1017368595
7/5/13,771818503.6
7/8/13,884162379
7/11/13,993690836.3
7/14/13,1081481238
7/17/13,1119468901
7/20/13,1051064818
7/23/13,1092556079
7/26/13,1105124841
7/29/13,1159687050
8/1/13,1197299385
8/4/13,1204281158
8/7/13,1216398480
8/10/13,1183611635
8/13/13,1239304284
8/16/13,1139007099
8/19/13,1181603148
8/22/13,1286747438
8/25/13,1310190388
8/28/13,1385377931
8/31/13,1544227650
9/3/13,1519566392
9/6/13,1427873853
9/9/13,1420313587
9/12/13,1501493796
9/15/13,1468452843
9/18/13,1490750729
9/21/13,1448821725
9/24/13,1440070860
9/27/13,1477191020
9/30/13,1481125170
10/3/13,1378615371
10/6/13,1435226560
10/9/13,1489654112
10/12/13,1508600194
10/15/13,1649680710
10/18/13,1786302345
10/21/13,2103224180
10/24/13,2328734577
10/27/13,2251714053
10/30/13,2425090157
11/2/13,2437295813
11/5/13,2947943727
11/8/13,3895040535
11/11/13,4064669415
11/14/13,4994001600
11/17/13,5557944600
11/20/13,7149668750
11/23/13,10079469419
11/26/13,10173483145
11/29/13,13065737063
12/2/13,11974044578
12/5/13,12423144163
12/8/13,8744799022
12/11/13,10731150885
12/14/13,10482304133
12/17/13,8520552684
12/20/13,8020567500
12/23/13,7784111543
12/26/13,8943399550
12/29/13,8713093533
1/1/14,9115018220
1/4/14,10045556736
1/7/14,10607038229
1/10/14,10130861705
1/13/14,9902642685
1/16/14,10196347805
1/19/14,10232530350
1/22/14,9998543354
1/25/14,9922504800
1/28/14,9860844595
1/31/14,9899258813
2/3/14,10050226550
2/6/14,9617966650
2/9/14,8786037000
2/12/14,8262169494
2/15/14,8078031423
2/18/14,7780597426
2/21/14,7035698628
2/24/14,6779936250
2/27/14,7287458483
3/2/14,6979296116
3/5/14,8295167238
3/8/14,7606014150
3/11/14,7787355648
3/14/14,7964578727
3/17/14,7825273315
3/20/14,7397493750
3/23/14,7118715008
3/26/14,7359247288
3/29/14,6288195326
4/1/14,6037174753
4/4/14,5622022952
4/7/14,5649057226
4/10/14,5064118725
4/13/14,5119777125
4/16/14,6472815113
4/19/14,6332183310
4/22/14,6255140735
4/25/14,5827336661
4/28/14,5678844450
5/1/14,5849556162
